date,2015,2016,2017,2018,2019,2020
1800-01-05,,55937.0,59890.0,66334.0,58461.0,60161.0
1800-01-12,61882.0,55654.0,61108.0,67661.0,58506.0,60722.0
1800-01-19,61261.0,55280.0,59444.0,64808.0,58373.0,59348.0
1800-01-26,58738.0,55709.0,58174.0,62918.0,58031.0,59149.0
1800-02-02,57380.0,54995.0,58530.0,61120.0,58276.0,58817.0
1800-02-09,57393.0,55222.0,59155.0,61242.0,58650.0,59453.0
1800-02-16,56535.0,55912.0,58596.0,59945.0,58114.0,58794.0
1800-02-23,56462.0,54975.0,58376.0,57933.0,58143.0,58885.0
1800-03-01,56028.0,55982.0,57354.0,56824.0,58082.0,59309.0
1800-03-08,56221.0,56225.0,57590.0,57236.0,58665.0,59678.0
1800-03-15,55374.0,54566.0,56772.0,56453.0,58020.0,58659.0
1800-03-22,54387.0,54772.0,57157.0,55904.0,57214.0,59195.0
1800-03-29,53336.0,53980.0,55832.0,55038.0,56800.0,63000.0
1800-04-05,53121.0,54170.0,55262.0,55412.0,56710.0,72274.0
1800-04-12,52785.0,53603.0,54967.0,55347.0,55625.0,79085.0
1800-04-19,52942.0,53254.0,53171.0,54152.0,54616.0,76784.0
1800-04-26,51702.0,51162.0,53391.0,53840.0,53767.0,73900.0
1800-05-03,51590.0,51373.0,52749.0,53877.0,54118.0,69284.0
1800-05-10,51758.0,51108.0,52074.0,52210.0,53611.0,66797.0
1800-05-17,50771.0,50554.0,52572.0,50737.0,53687.0,64458.0
1800-05-24,49428.0,50586.0,51091.0,51052.0,53822.0,61607.0
1800-05-31,49816.0,49823.0,51366.0,51157.0,52856.0,59654.0
1800-06-07,49132.0,50026.0,51513.0,52119.0,53297.0,58870.0
1800-06-14,49845.0,49995.0,50915.0,51507.0,52789.0,58002.0
1800-06-21,49222.0,49718.0,51313.0,51218.0,52422.0,57966.0
1800-06-28,49169.0,49844.0,50746.0,50997.0,52317.0,58475.0
1800-07-05,49334.0,49789.0,51085.0,51817.0,52498.0,59786.0
1800-07-12,49019.0,49730.0,50124.0,51332.0,52070.0,61905.0
1800-07-19,49344.0,49374.0,50222.0,50727.0,51800.0,63140.0
1800-07-26,48655.0,49809.0,49487.0,50409.0,51800.0,64212.0
1800-08-02,48673.0,49648.0,50204.0,50794.0,51554.0,64196.0
1800-08-09,48279.0,49829.0,50360.0,51124.0,51847.0,63681.0
1800-08-16,48086.0,49920.0,50290.0,50420.0,51127.0,63615.0
1800-08-23,48546.0,49598.0,49655.0,50585.0,51152.0,62528.0
1800-08-30,48615.0,49685.0,50952.0,50741.0,51284.0,61061.0
1800-09-06,48817.0,50192.0,51100.0,50426.0,51954.0,60208.0
1800-09-13,48885.0,50029.0,51815.0,51214.0,51750.0,59612.0
1800-09-20,48935.0,49983.0,51353.0,51714.0,51905.0,59678.0
1800-09-27,49329.0,50357.0,51458.0,51083.0,52880.0,60566.0
1800-10-04,48916.0,51512.0,52229.0,52478.0,52680.0,59682.0
1800-10-11,51048.0,52237.0,51695.0,51966.0,53217.0,61535.0
1800-10-18,49936.0,51559.0,52349.0,53117.0,54441.0,60204.0
1800-10-25,50761.0,51973.0,52679.0,53873.0,54151.0,61716.0
1800-11-01,50471.0,51862.0,53814.0,53759.0,54207.0,62987.0
1800-11-08,51282.0,52639.0,53376.0,53688.0,55828.0,67303.0
1800-11-15,50744.0,53546.0,53910.0,54815.0,56030.0,68432.0
1800-11-22,51489.0,53224.0,54221.0,54990.0,56313.0,70893.0
1800-11-29,51292.0,54610.0,54900.0,55203.0,55591.0,72550.0
1800-12-06,52088.0,55240.0,55739.0,56106.0,57415.0,76313.0
1800-12-13,53661.0,56100.0,57534.0,56524.0,57789.0,80662.0
1800-12-20,51948.0,56809.0,59678.0,56664.0,57592.0,81528.0
1800-12-27,52866.0,57782.0,61243.0,56162.0,58615.0,82712.0
